date,_pm25,year,month,day,PM25,Date
7/23/2016,98,2016,7,23,13.505,7/23/2016
7/24/2016,136,2016,7,24,17.23,7/24/2016
7/25/2016,126,2016,7,25,24.63,7/25/2016
7/26/2016,86,2016,7,26,25.99333333,7/26/2016
7/27/2016,75,2016,7,27,27.88833333,7/27/2016
7/28/2016,68,2016,7,28,28.46333333,7/28/2016
7/29/2016,68,2016,7,29,29.85333333,7/29/2016
7/30/2016,58,2016,7,30,32.96833333,7/30/2016
7/31/2016,63,2016,7,31,33.92166667,7/31/2016
8/1/2016,49,2016,8,1,39.54166667,8/1/2016
8/2/2016,74,2016,8,2,52.24,8/2/2016
8/3/2016,63,2016,8,3,35.675,8/3/2016
8/4/2016,86,2016,8,4,23.655,8/4/2016
8/5/2016,58,2016,8,5,18.07833333,8/5/2016
8/6/2016,71,2016,8,6,15.87666667,8/6/2016
8/7/2016,79,2016,8,7,14.98833333,8/7/2016
8/8/2016,54,2016,8,8,14.43,8/8/2016
8/9/2016,50,2016,8,9,13.61666667,8/9/2016
8/10/2016,54,2016,8,10,13.3,8/10/2016
8/11/2016,55,2016,8,11,13.35666667,8/11/2016
8/12/2016,66,2016,8,12,12.98166667,8/12/2016
8/13/2016,57,2016,8,13,12.59333333,8/13/2016
8/14/2016,52,2016,8,14,12.73833333,8/14/2016
8/15/2016,55,2016,8,15,13.59166667,8/15/2016
8/16/2016,44,2016,8,16,14.28166667,8/16/2016
8/17/2016,51,2016,8,17,15.15833333,8/17/2016
8/18/2016,58,2016,8,18,22.81333333,8/18/2016
8/19/2016,65,2016,8,19,30.815,8/19/2016
8/20/2016,58,2016,8,20,34.25833333,8/20/2016
8/21/2016,72,2016,8,21,35.765,8/21/2016
8/22/2016,71,2016,8,22,35.29833333,8/22/2016
8/23/2016,77,2016,8,23,34.15333333,8/23/2016
8/24/2016,104,2016,8,24,33.68666667,8/24/2016
8/25/2016,92,2016,8,25,33.02666667,8/25/2016
8/26/2016,80,2016,8,26,38.63166667,8/26/2016
8/27/2016,68,2016,8,27,50.73166667,8/27/2016
8/28/2016,77,2016,8,28,50.17,8/28/2016
8/29/2016,78,2016,8,29,42.11833333,8/29/2016
8/30/2016,59,2016,8,30,37.46363636,8/30/2016
8/31/2016,71,2016,8,31,38.29666667,8/31/2016
9/1/2016,78,2016,9,1,38.72833333,9/1/2016
